date,time,algorithm,structure,variant,repetitions,average_us,min_us,max_us
2026-04-11,14:04:54,quick,array,middle,5,9.2,6,16
2026-04-11,14:06:29,shell,dlist,knuth,5,104.2,91,116
2026-04-11,14:06:39,bucket,slist,-,5,23.4,23,25
2026-04-11,14:21:01,quick,array,middle,5,8.4,6,13
2026-04-11,14:21:08,shell,dlist,knuth,5,86.6,68,115
2026-04-11,14:21:14,bucket,slist,-,5,37.8,35,40
